label,sent
1,I love working midnights tweet
0,my grandad always sounds so ill when i speak to him on the phone
0,"I realize I'm annoying to everyone, so I won't keep spamming you, twitter, I'll speak when spoken too"
1,Going to the dentist on my 21st??? How lucky...
1,"I keep my house cold like a casino. Once your inside, you get shit done.     "
0,  kwisp1179 need to speak soon as I'm a mooking our honeymoon to Mauritius so need some tips etc all the 
0,"Ffs go away, I don't want to speak to you so stop trying to contact me on every fucking thing"
0,Thanks...twas lovely to see you guys too! So pleased you like the pouches. Speak soon
0,"Every since 11th grade I speak to everyone the say way. So if you ask me ""would you speak to your mother the same way"" my answer is yes."
0,Action speak audible than words you know akr so I rather gesture than ke bue now and not be able to convince you Bua pele
0,"Good! How are you too? I've always wanted to speak to foreigner!! I'm so grad. If you don't mind, shall we talk from now on?"
0,"So apparently im not to speak to my mum anymore. Oh, alright"
1,Im glad that other people care enough about me to know what happened better than I do.   
0,"IDGAF , what people have to say now . bc yal say shit when im not there but when im present you dont speak tf up . so stfu and sit down ."
0,"I love music and I love photography so to me pictures speak where words can't, music is just the ballad to my life."
1,"Danny Welbeck is definitely Arsenal's ""Sturridge"" !"
1,I am absolutely  trying to fit in!   
1,"I love these boys so much and I'd be so grateful for the opportunity to speak to them, please  48"
1,Good way to end my night 
1,I miss you 
1,Danny Welbeck has been a great signing 
0,when i speak politly to people they understand wrong so ill be rude
1,"I just love it when i dont have air in my car, AND my driver's side window doesnt roll down.   "
1,My most favorite view when I'm trying to get to work    
1,"I have a quiz in an hour. Thanks ""professor"" for the vague expectations on how to prepare for it. "
1,I love getting to Navarre just in time to see an awesome waterspout!   
1,My favorite part about getting my oil changed is how long it takes. 
1,Some people just suck the fun right of sarcasm when they don't understand that you're making fun of them   
1,Bitch at subway had hickeys on her neck... That's so attractive...
1,I love being the first to make plans with people. 
1,I just love working at mcdonalds so much lol I think I'm just gonna work here forever lol 
0,There is so many awesome accounts that I want to speak to but I don't dare talk to them
0,"I'm impressed in a way that you got to speak. We got, the 'speak to me, don't speak to me' so we never knew which. Same result"
0,My friend doesnt know how to speak to me without mentioning that she had a boyfriend thanks so much for tHROWING IT IN MY FACE 35/8 AWESOME
1,I'm going to live my life be who I want to be with speak and be friends with whoever I want to and you have no say so quit stressing off me.
0,you've done enough damage to us all. You don't speak for us so you don't sign for us. Traitor.
0,So they should act like a d1...or its it merely marketing speak to encourge markets to turnout
1,"Another DVD night, wow aren't I living the student life "
0,"He's committed a crime against society, society deserves to speak its mind but should not do so impulsively."
1,Glad the first floor of Potomac smells like straight vodka 
1,Having to Google the meaning of at least one word per page of the book I'm reading  
1,I'm glad that was taken away from me after it was promised.   
1,I absolutely love getting overdraft statements in the mail 
1,"Had a record four shots tonight. I know, I'm such a pro. tweet"
